Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(BNB),Value_OUT(BNB),CurrentValue @ $306.71/BNB,TxnFee(BNB),TxnFee(USD),Historical $Price/BNB,Status,ErrCode,Method
0x0c289f71d42350677595031852ab5b01d35c8fdd59c1cff17716d1b4e6d506fe,20791828,1661555112,8/26/22 23:05,0x6e9afd530416fc332d47939463c292d9062209b1,0x10ed43c718714eb63d5aa57b78b54704e256024e,,0,28,8587.88,0.001631882,0.500514528,279.53,,,Swap Exact ETH For Tokens
0x37ea0bc590fffb5e823ccfe02c6079d03718c5c82a186185c67cbfcfe64c31ae,20903334,1661889984,8/30/22 20:06,0x6e9afd530416fc332d47939463c292d9062209b1,0x10ed43c718714eb63d5aa57b78b54704e256024e,,0,100,30671,0.000835548,0.256270927,281.52,,,Swap Exact ETH For Tokens
0x5633bfc33978eac9978062431472272bb47b8abe6d8339583f953e16eb0d60c6,20903364,1661890074,8/30/22 20:07,0x6e9afd530416fc332d47939463c292d9062209b1,0x55d398326f99059ff775485246999027b3197955,,0,0,0,0.000255635,0.078405811,281.52,,,Transfer
0x435e8947601874f5012a11606ef063dc5249505638a9aa1a27b7ec3d93409fef,21048814,1662327107,9/4/22 21:31,0x6e9afd530416fc332d47939463c292d9062209b1,0x10ed43c718714eb63d5aa57b78b54704e256024e,,0,91,27910.61,0.000835548,0.256270927,279.13,,,Swap Exact ETH For Tokens
0x3f0aa18b15744895227ff103e33f411decb44e7e6a0f7f1751086694e2fc26c1,21048844,1662327197,9/4/22 21:33,0x6e9afd530416fc332d47939463c292d9062209b1,0x55d398326f99059ff775485246999027b3197955,,0,0,0,0.000255635,0.078405811,279.13,,,Transfer
0x1fa7301593d6440bf5822b3a9931623a2373b6da1a45bdae4a18aaab89ac21a1,21066039,1662379530,9/5/22 12:05,0x6e9afd530416fc332d47939463c292d9062209b1,0x10ed43c718714eb63d5aa57b78b54704e256024e,,0,9,2760.39,0.001895362,0.581326479,276.87,,,Swap Exact ETH For Tokens
0x2eebca90de7c384bf4e2f2a36ce1c8b378784e6a468d32f12d2363d711b5fdb4,21069290,1662389299,9/5/22 14:48,0x6e9afd530416fc332d47939463c292d9062209b1,0x55d398326f99059ff775485246999027b3197955,,0,0,0,0.000310842,0.09533835,276.87,,,Approve
0xfd1946b0258a9c7dfbfd652999295f7b6e1147614c4aa989a6a71dd37dfdfd53,21069296,1662389317,9/5/22 14:48,0x6e9afd530416fc332d47939463c292d9062209b1,0x10ed43c718714eb63d5aa57b78b54704e256024e,,0,0,0,0.001662752,0.509982666,276.87,,,Swap Exact Tokens For Tokens
0x892597a1528883f263a8ac56fec604f7da376c5e3cd64a2a75db70dc409f9069,21131863,1662577249,9/7/22 19:00,0x6e9afd530416fc332d47939463c292d9062209b1,0x10ed43c718714eb63d5aa57b78b54704e256024e,,0,93,28524.03,0.000940548,0.288475477,279.07,,,Swap Exact ETH For Tokens
0x9e6bf29bbe6946dfcc8e2bbd46c4a2739fae8555aa3ac06a2e7970fdbfbd9c31,21131894,1662577342,9/7/22 19:02,0x6e9afd530416fc332d47939463c292d9062209b1,0x55d398326f99059ff775485246999027b3197955,,0,0,0,0.000255635,0.078405811,279.07,,,Transfer
0x8fde911f4f4b557277df576a4aee985895f2f58550dc7f1aee50174c4fd655a8,21153690,1662642809,9/8/22 13:13,0x6e9afd530416fc332d47939463c292d9062209b1,0x1bb2d2b396edc607ce8149820ad7c121aa6c41fc,,0,7,2146.97,0.000105,0.03220455,280.66,,,Transfer
0xe9740e52b4a9652403012994d1a5d431c9b94ba75e3c9f793ff97c655893c3ed,21162634,1662669642,9/8/22 20:40,0x6e9afd530416fc332d47939463c292d9062209b1,0x10ed43c718714eb63d5aa57b78b54704e256024e,,0,20,6134.2,0.000835464,0.256245163,280.66,,,Swap Exact ETH For Tokens
0xaadbc091ab633b63d486853d5995e1f5113e15761f7de9ecbc57b3aa522b957e,21162658,1662669714,9/8/22 20:41,0x6e9afd530416fc332d47939463c292d9062209b1,0x55d398326f99059ff775485246999027b3197955,,0,0,0,0.000255575,0.078387408,280.66,,,Transfer
0x360431fbdc4626cdb4cf15bb4113548b17d9383517eba94562f6367c46e9432e,21275475,1663008622,9/12/22 18:50,0x6e9afd530416fc332d47939463c292d9062209b1,0x10ed43c718714eb63d5aa57b78b54704e256024e,,0,500,153355,0.000835548,0.256270927,294.11,,,Swap Exact ETH For Tokens
0x6928267ef8f5a016c0841f579feeab3f56fca1e9efa042c3d3d9fae426f18a8c,21275794,1663009579,9/12/22 19:06,0x6e9afd530416fc332d47939463c292d9062209b1,0x1bb2d2b396edc607ce8149820ad7c121aa6c41fc,,0,1,306.71,0.000105,0.03220455,294.11,,,Transfer
0x3f041584eabd6f8fed4854e64d098c298c448e136ca6483c86fef31f1f891cde,21275801,1663009600,9/12/22 19:06,0x6e9afd530416fc332d47939463c292d9062209b1,0x55d398326f99059ff775485246999027b3197955,,0,0,0,0.000255575,0.078387408,294.11,,,Transfer
0x38a0c01dbe3b84b116bf05b35740f6930bb963027e0db91e9918eb69284725a9,21320447,1663143554,9/14/22 8:19,0x6e9afd530416fc332d47939463c292d9062209b1,0x10ed43c718714eb63d5aa57b78b54704e256024e,,0,16,4907.36,0.003847921,1.18019585,279.36,,,Swap Exact ETH For Tokens
