Exchange,Volume,ds
Binance,19603807778,2023-03-15
Coinbase_Exchange,2906697159,2023-03-15
Gate.io,2064609337,2023-03-15
OKX,2060239864,2023-03-15
MEXC_Global,1681458488,2023-03-15
Kraken,1488794805,2023-03-15
KuCoin,1259332922,2023-03-15
Bybit,1146239349,2023-03-15
Bitget,975276786.7,2023-03-15
Huobi,947720552.2,2023-03-15
Binance US,663657690.4,2023-03-15
Bitfinex,401711768.8,2023-03-15
Bitstamp,372476309.2,2023-03-15
Gemini,58100194.24,2023-03-15
Binance,19787915040,2023-03-14
Coinbase_Exchange,2877775650,2023-03-14
Gate.io,2216895142,2023-03-14
OKX,2079588462,2023-03-14
MEXC_Global,1959570842,2023-03-14
Kraken,1598608179,2023-03-14
KuCoin,1228182190,2023-03-14
Bybit,1048002419,2023-03-14
Bitget,1001462728,2023-03-14
Huobi,882797012.1,2023-03-14
Binance US,712608939.5,2023-03-14
Bitfinex,528083672.5,2023-03-14
Bitstamp,399950277.7,2023-03-14
Gemini,70085497.95,2023-03-14
Binance,15331760406,2023-03-13
Coinbase_Exchange,1914933359,2023-03-13
OKX,1615621711,2023-03-13
Gate.io,1338115478,2023-03-13
MEXC_Global,1216989421,2023-03-13
Kraken,1118498866,2023-03-13
KuCoin,1079845735,2023-03-13
Bybit,902403367.2,2023-03-13
Bitget,890801865.7,2023-03-13
Huobi,774742531.9,2023-03-13
Bitfinex,523839869,2023-03-13
Binance US,428317552.9,2023-03-13
Bitstamp,339043937.8,2023-03-13
Gemini,96851430.92,2023-03-13
Binance,11018562864,2023-03-12
OKX,1161108044,2023-03-12
Coinbase_Exchange,980429140.9,2023-03-12
Gate.io,913591291.1,2023-03-12
MEXC_Global,874620631.7,2023-03-12
Kraken,803838005.1,2023-03-12
Bitget,781341414.7,2023-03-12
KuCoin,652903728,2023-03-12
Bybit,603802178.1,2023-03-12
Huobi,599853933.4,2023-03-12
Bitfinex,346344236.6,2023-03-12
Binance US,274201060.7,2023-03-12
Bitstamp,151629850.2,2023-03-12
Gemini,103981660.6,2023-03-12
Binance,18836115456,2023-03-11
Coinbase_Exchange,2149859891,2023-03-11
OKX,1984901645,2023-03-11
Gate.io,1643966324,2023-03-11
MEXC_Global,1495154650,2023-03-11
Kraken,1374152334,2023-03-11
Bybit,1293566394,2023-03-11
KuCoin,1256688570,2023-03-11
Bitget,805137059.8,2023-03-11
Huobi,792356793.8,2023-03-11
Binance US,526217422.3,2023-03-11
Bitfinex,414649366.3,2023-03-11
Bitstamp,310986271,2023-03-11
Gemini,101652235.3,2023-03-11
Binance,15857030390,2023-03-10
Coinbase_Exchange,2391072441,2023-03-10
OKX,1670973216,2023-03-10
Gate.io,1383959732,2023-03-10
MEXC_Global,1258683924,2023-03-10
Bybit,1085381386,2023-03-10
KuCoin,1048242941,2023-03-10
Kraken,1017136288,2023-03-10
Huobi,825810482.1,2023-03-10
Bitget,697873684.1,2023-03-10
Binance US,442991891.4,2023-03-10
Bitstamp,286874502.2,2023-03-10
Bitfinex,228179842.6,2023-03-10
Gemini,70230517.61,2023-03-10
Binance,6778017215,2023-03-09
Coinbase_Exchange,1219407018,2023-03-09
OKX,714250179.5,2023-03-09
Gate.io,591567350,2023-03-09
Bybit,548672540.7,2023-03-09
Huobi,539677933.7,2023-03-09
MEXC_Global,538018902.5,2023-03-09
KuCoin,531492932.3,2023-03-09
Bitget,495257404.3,2023-03-09
Kraken,494477231.1,2023-03-09
Binance US,189354850.5,2023-03-09
Bitstamp,130661588.1,2023-03-09
Bitfinex,106914674.4,2023-03-09
Gemini,23047030.23,2023-03-09
Binance,8110467649,2023-03-08
Coinbase_Exchange,1274803062,2023-03-08
OKX,854660269.1,2023-03-08
Gate.io,707860158.8,2023-03-08
MEXC_Global,643784824,2023-03-08
Kraken,591683475.2,2023-03-08
KuCoin,581184165.7,2023-03-08
Bybit,537369231,2023-03-08
Bitget,495443326.7,2023-03-08
Huobi,457363734.6,2023-03-08
Binance US,226579055.1,2023-03-08
Bitstamp,171249842.4,2023-03-08
Bitfinex,87292573.88,2023-03-08
Gemini,29738136.34,2023-03-08
Binance,5391024746,2023-03-07
Coinbase_Exchange,953896732.6,2023-03-07
OKX,568092383.9,2023-03-07
Gate.io,470514454.8,2023-03-07
KuCoin,439664438.3,2023-03-07
MEXC_Global,427923457.3,2023-03-07
Kraken,393291831.7,2023-03-07
Bitget,390829091.5,2023-03-07
Bybit,364281196,2023-03-07
Huobi,350237908,2023-03-07
Binance US,150606947.6,2023-03-07
Bitstamp,119216253.2,2023-03-07
Bitfinex,59241325.96,2023-03-07
Gemini,14759635.92,2023-03-07
Binance,4524513697,2023-03-06
Coinbase_Exchange,731227998.6,2023-03-06
OKX,476781600.2,2023-03-06
Gate.io,394887627.4,2023-03-06
Bitget,386744834.1,2023-03-06
KuCoin,382237605.5,2023-03-06
MEXC_Global,359142438.3,2023-03-06
Huobi,332486273,2023-03-06
Kraken,330077237,2023-03-06
Bybit,324009502.8,2023-03-06
Binance US,126399599.1,2023-03-06
Bitstamp,100054277.1,2023-03-06
Bitfinex,37717382.35,2023-03-06
Gemini,8963024.405,2023-03-06
Binance,3709347090,2023-03-05
KuCoin,425084294.6,2023-03-05
Bitget,403296859.1,2023-03-05
Coinbase_Exchange,396382543.2,2023-03-05
OKX,390881529.4,2023-03-05
Bybit,330680604.2,2023-03-05
Huobi,329091312.7,2023-03-05
Gate.io,323742044.9,2023-03-05
MEXC_Global,294436901.4,2023-03-05
Kraken,183606716.2,2023-03-05
Binance US,103626519.5,2023-03-05
Bitfinex,50552040.24,2023-03-05
Bitstamp,43906197.86,2023-03-05
Gemini,9141568.769,2023-03-05
Binance,4751125650,2023-03-04
Coinbase_Exchange,723203816.7,2023-03-04
Bitget,541378581.6,2023-03-04
OKX,500661383.9,2023-03-04
Gate.io,414665650.8,2023-03-04
KuCoin,406236162.4,2023-03-04
MEXC_Global,377130131.2,2023-03-04
Huobi,346592288.9,2023-03-04
Kraken,289646406.9,2023-03-04
Bybit,280673022.7,2023-03-04
Binance US,132730476.6,2023-03-04
Bitstamp,63402797.23,2023-03-04
